Name,code
STAT 213: Statistical Inference II,STAT 213
STAT 213: Statistical Inference 2,STAT 213
STAT 109: Intro to Statistical Modelling,STAT 109
EDU S043/STAT 151: Multilevel and Longitudinal Models,EDU S043/STAT 151
BIOSTAT 282/BST 282/STAT 115/STAT 215: Introduction to Computational Biology and Bioinformatics,BIOSTAT 282/BST 282/STAT 115/STAT 215
STAT 111: Introduction to Statistical Inference,STAT 111
STAT 100: Introduction to Statistics and Data Science,STAT 100
STAT 139: Introduction to Linear Models,STAT 139
STAT 100: Introduction to Quantitative Methods for the Social Sciences and Humanities,STAT 100
STAT 139: Statistical Sleuthing Through Linear Models,STAT 139
STAT 139: Linear Models,STAT 139
STAT 131: Time Series & Prediction,STAT 131
STAT 230: Multivariate Statistical Analysis,STAT 230
STAT 160: Introduction to Survey Sampling and Estimation,STAT 160
STAT 186: Statistical Methods for Evaluating Causal Effects,STAT 186
ECON 2142/STAT 242: Time Series,ECON 2142/STAT 242
STAT 160/STAT 260: Design and Analysis of Sample Surveys,STAT 160/STAT 260
STAT 120: Introduction to Bayesian Inference and Applications,STAT 120
STAT 123: Applied Quantitative Finance,STAT 123
APCOMP 209A/COMPSCI 1090A/COMPSCI 109A/STAT 109A/STAT 121A: Data Science 1: Introduction to Data Science,APCOMP 209A/COMPSCI 1090A/COMPSCI 109A/STAT 109A/STAT 121A
STAT 108: Introduction to Statistical Computing with R,STAT 108
STAT 114: Introduction to Bioinformatics and Statistical Genetics,STAT 114
STAT 140: Design of Experiments,STAT 140
STAT 161: Introduction to Nonparametric Methods,STAT 161
STAT 102: Introduction to Statistics for Life Sciences,STAT 102
STAT 104: Introduction to Quantitative Methods for Economics,STAT 104
STAT 212: Probability 2,STAT 212
STAT 220: Bayesian Data Analysis,STAT 220
STAT 212: Probability II,STAT 212
STAT 211: Statistical Inference I,STAT 211
COMPSCI 184/COMPSCI 1840/STAT 184: Introduction to Reinforcement Learning,COMPSCI 184/COMPSCI 1840/STAT 184
STAT 111: Introduction to Theoretical Statistics,STAT 111
STAT 195: Introduction to Supervised Learning,STAT 195
STAT 303HFA: The Art of Communicating and Teaching Statistics,STAT 303HFA
STAT 236: Statistical Learning,STAT 236
STAT 216: Topics in High-Dimensional Probability Theory,STAT 216
STAT 123: Quantitative Finance,STAT 123
STAT 303HFA: The Art and Practice of Teaching Statistics,STAT 303HFA
STAT 303HFB: The Art and Practice of Teaching Statistics,STAT 303HFB
STAT 388R: Design and Analysis of Experiments at Scale,STAT 388R
STAT 221: Statistical Computing and Learning,STAT 221
STAT 291: Random High-Dimensional Optimization: Landscapes and Algorithmic Barriers,STAT 291
STAT 293/STAT 393/STAT 397: Design of Experimental and Non-experimental Studies,STAT 293/STAT 393/STAT 397
STAT 117: Data Analysis in Modern Biostatistics,STAT 117
STAT 171: Introduction to Stochastic Processes,STAT 171
STAT 236: Modern Statistical Learning,STAT 236
STAT 141: Introduction to Spatial Statistics,STAT 141
STAT 217: Topics in high-dimensional statistics: methods from statistical physics,STAT 217
"STAT 221: Computational Tools for Statistical Learning: Approximation, Optimization, and Monte Carlo",STAT 221
STAT 248: Couplings and Monte Carlo,STAT 248
STAT 141: Spatial Statistics,STAT 141
STAT 185: Introduction to Dimension Reduction,STAT 185
"STAT 188: Variations, Information and Privacy",STAT 188
STAT 305R: Statistical Consulting,STAT 305R
STAT 195: Statistical Machine Learning,STAT 195
STAT 99R: Tutorial - Senior Year,STAT 99R
STAT 185: Introduction to Unsupervised Learning,STAT 185
APCOMP 209B/COMPSCI 109B/STAT 109B/STAT 121B: Data Science 2: Advanced Topics in Data Science,APCOMP 209B/COMPSCI 109B/STAT 109B/STAT 121B
STAT 131: Introduction to Time Series & Prediction,STAT 131
STAT 149: Generalized Linear Models,STAT 149
STAT 317: Seminar on Bayesian nonparametrics,STAT 317
STAT 221: Monte Carlo Methods & other computational tools for statistical learning,STAT 221
STAT 107: Introduction to Business and Financial Statistics,STAT 107
COMPSCI 333/STAT 333: Individual Risk,COMPSCI 333/STAT 333
STAT 288: Deep Statistics: AI and Earth Observations for Sustainable Development,STAT 288
STAT 98: Tutorial - Junior Year,STAT 98
STAT 315: Modern high-dimensional inference,STAT 315
"BST 208: Stats for Med Research, Advanced",BST 208
STAT 149: Introduction to Generalized Linear Models,STAT 149
GOV 2002/STAT 186: Causal Inference,GOV 2002/STAT 186
STAT 186: Introduction to Causal Inference,STAT 186
STAT 317: Computational Optimal Transport,STAT 317
STAT 300HFRB: Research in Statistics,STAT 300HFRB
STAT 364: Scalable Statistical Inference for Big Data with Applications,STAT 364
"STAT 236: Sparse Inference, and Network and Text Analysis",STAT 236
STAT 300HFRA: Research in Statistics,STAT 300HFRA
STAT 170: Quantitative Analysis of Capital Markets,STAT 170
COMPSCI 10/STAT 10: Elements of Data Science,COMPSCI 10/STAT 10
STAT 286: Causal Inference & Program Evaluation,STAT 286
STAT 234: Sequential Decision Making,STAT 234
STAT 364: Scalable Statistical and Machine Learning Methods for Big Data with Applications,STAT 364
STAT 143: Sports Analytics,STAT 143
STAT 316: Big data statistics in genomic and genetic research,STAT 316
GOV 2003/STAT 286: Causal Inference with Applications,GOV 2003/STAT 286
GENETIC 349: Current Tools for Gene Analysis,GENETIC 349
SYSBIO 220: Analysis foundations for quantitative biologists,SYSBIO 220
IMMUN 306QC: Systems Immunology,IMMUN 306QC
GOV 1000: Quantitative Methods for Political Science I,GOV 1000
GOV 2000/GOV 2000E: Introduction to Quantitative Methods I,GOV 2000/GOV 2000E
"PHYSCI 12A: Mechanics and Statistical Physics from an Analytic, Numerical and Experimental Perspective",PHYSCI 12A
ECON 2150: The Econometrics of Machine Learning (and other 'Big Data' Techniques),ECON 2150
EPI 271: Propensity Score Analysis: Theoretical & Practical Considerations,EPI 271
GOV 2303: Race and Federalism,GOV 2303
ECON 1036: The Psychology and Economics of Beliefs,ECON 1036
EPI 215: Advanced Topics in Case-Control and Cohort Studies,EPI 215
MLD 630/MLD 630M: Government Turnarounds,MLD 630/MLD 630M
SYSBIO 220/SYSBIO 320/SYSBIO 320QC: Quantitative Measurement and Analysis,SYSBIO 220/SYSBIO 320/SYSBIO 320QC
APPHY 284/PHYSICS 262: Statistical Mechanics,APPHY 284/PHYSICS 262
OEB 201: Introduction to experimental design and model building for ecologists and evolutionary biologists,OEB 201
GOV 2003: Topics in Quantitative Methods,GOV 2003
BST 254: Special Topics in Biostatistics (2.5 cr),BST 254
BIOSTAT 254: Topics in Biostatistics,BIOSTAT 254
"MLD 412/MLD 412M: Greater Boston Applied Field Lab: Advanced Budgeting, Financial Management and Operations",MLD 412/MLD 412M
ECON 980P: International Trade Policy,ECON 980P
"DPI 376/DPI 376M/EDU H213: Queer Nation: LGBTQ+ Protest, Politics, and Policy in the United States",DPI 376/DPI 376M/EDU H213
BMI 722: Topics in Translational Biomedical Informatics,BMI 722
GOV 2001: Quantitative Social Science Methods I,GOV 2001
PHYSICS 181: Statistical Mechanics and Thermodynamics,PHYSICS 181
ECON 970: Tutorial - Sophomore Year,ECON 970
"MATH 18B/19B: Linear Algebra, Probability, and Statistics",MATH 18B/19B
COMPSCI 282R: Topics in Machine Learning,COMPSCI 282R
SCRB 120: Biotech Ethics,SCRB 120
DPI 851M: Data and Information Visualization,DPI 851M
BST 113: Introduction to Data Management and Programming in SAS,BST 113
HPM 543: Quantitative Methods in Program Evaluation,HPM 543
GHP 512: Assessing Impact of Population Health Interventions Through Analysis of Risk Factors,GHP 512
ID 236: Social Epidemiology,ID 236
ECON 1126: Quantitative Methods in Economics,ECON 1126
MUSIC 178R: Applied Music Activism,MUSIC 178R
API 205: Politics and Policies: What Can Data Tell Us?,API 205
ID 501: Engaging with the Press: A Practical Look at Effective Public Health Communications,ID 501
HISTSCI 249: The Opioid Epidemic in Historical Perspective,HISTSCI 249
"LING 83: Language, Structure, and Cognition",LING 83
BIOPHYS 206: Concepts in Cancer Genome Analysis,BIOPHYS 206
"SCRB 210: COVID-19: Science, Medicine, and Therapeutics",SCRB 210
BIOSTAT 241/BST 241: Statistical Inference II,BIOSTAT 241/BST 241
EPI 501: Dynamics of Infectious Diseases,EPI 501
APCOMP 275/APPHY 275: Computational Design of Materials,APCOMP 275/APPHY 275
SBS 236: Social Epidemiology,SBS 236
"MATH 19B: Linear Algebra, Probability, and Statistics for the Life Sciences",MATH 19B
SYSBIO 220QC: Analysis foundations for quantitative biologists (part 1),SYSBIO 220QC
MLD 110: Strategic Management for Public Purposes,MLD 110
EPI 286: Database Analytics in Pharmacoepidemiology,EPI 286
COMPSCI 282BR: Adaptive Methods in Machine Learning,COMPSCI 282BR
ENG-SCI 280: System Engineering,ENG-SCI 280
BIOSTAT 281/BST 281: Genomic Data Manipulation,BIOSTAT 281/BST 281
DPI 678M: Product Management and Society: Building Technology in the Public Interest,DPI 678M
SCI 6275: Computer Vision (at SEAS),SCI 6275
COMPSCI 283: Computer Vision,COMPSCI 283
BST 260: Introduction to Data Science,BST 260
PSY 971: Contemporary Issues in Psychology: Intensive Cross-level Analyses,PSY 971
ECON 1088: Finance for Inclusive Growth,ECON 1088
"APMTH 207: Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference and Optimization",APMTH 207
ID 221: Nutritional Epidemiology II,ID 221
OEB 137: Experimental Design and Statistics for Ecology,OEB 137
COMPSCI 183: Foundations of Machine Learning,COMPSCI 183
GOV 2001: Advanced Quantitative Research Methodology,GOV 2001
MLD 636: Managing Transformations in Healthcare,MLD 636
GOV 1002: Advanced Quantitative Political Methodology,GOV 1002
